Fold,h*,λ*,MLP Error,C*,LogReg Error,Baseline Error
1,"(16, 16, 64)",0.0001,0.11650485436893199,100,0.18446601941747576,0.41747572815533984
2,"(16, 64, 32)",0.001,0.06796116504854366,10,0.22330097087378642,0.38834951456310685
3,"(16, 64, 16)",0.001,0.1456310679611651,1,0.21359223300970875,0.5048543689320388
4,"(16, 64, 32)",0.01,0.11650485436893199,10,0.16504854368932043,0.5048543689320388
5,"(32, 32, 16)",0.0001,0.15533980582524276,100,0.21359223300970875,0.4077669902912622
6,"(16, 64)",0.0001,0.08737864077669899,1,0.13592233009708743,0.41747572815533984
7,"(32, 16, 16)",0.01,0.13592233009708743,100,0.19417475728155342,0.4563106796116505
8,"(32, 16)",0.0001,0.11650485436893199,1,0.23300970873786409,0.4077669902912622
9,"(32,)",0.01,0.13592233009708743,100,0.19417475728155342,0.3980582524271845
10,"(32, 32)",0.001,0.11650485436893199,100,0.24271844660194175,0.38834951456310685
